,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,police,police
4,pensais,thought
5,aide,help
6,genre,kind
7,mois,month
8,frère,brother
9,car,because
10,mettre,to put
11,aucun,no
12,laisse,leash
13,eux,them
14,chaque,each
15,parlé,speak
16,bébé,baby
17,longtemps,long time
18,vont,will
19,pendant,while
20,revoir,meet again
21,aucune,any
22,place,square
23,parle,speak
24,compris,understood
25,savais,knew
26,étaient,were
27,attention,Warning
28,voici,here is
29,pourrais,could
30,affaire,case
31,donner,give
32,type,type
33,leurs,their
34,donné,given
35,train,train
36,corps,body
37,endroit,place
38,yeux,eyes
39,façon,way
40,écoute,listen
41,dont,whose
42,trouve,find
43,premier,first
44,perdu,lost
45,main,hand
46,première,first
47,côté,side
48,pouvoir,power
49,vieux,old
50,sois,be
51,tiens,here
52,matin,morning
53,tellement,so much
54,enfant,child
55,point,point
56,venu,came
57,suite,after
58,venez,come
59,devant,in front of
60,vers,towards
61,minutes,minutes
62,demandé,request
63,mis,placed
64,belle,beautiful
65,droit,law
66,aimerais,would like to
67,aujourd'hui,today
68,cause,cause
69,enfin,finally
70,espère,hope
71,eau,water
72,attendez,Wait
73,parti,left
74,nouvelle,new
75,boulot,job
76,dirait,would say
77,compte,account
78,donne,given
79,loin,far
80,fin,end
81,croire,believe
82,chérie,sweetheart
83,gros,large
84,plutôt,rather
85,aura,will have
86,filles,girls
87,jouer,to play
